Countries,Civilian held firearms,Population,Civilian held firearms (100 persons),Military held firearms,Law enforcement held firearms
Afghanistan,4270000,34169000,12.5,331170,239000
Albania,350000,2911000,12.0,21750,19000
Algeria,877000,41064000,2.1,637720,363000
American Samoa,400,56000,0.7,,90
Andorra,10000,69000,14.1,,976
Angola,2982000,26656000,11.2,203300,60000
Antigua and Barbuda,5000,94000,5.4,438,800
Argentina,3256000,44272000,7.4,679770,391000
Armenia,186000,3032000,6.1,509240,18000
Aruba,3000,105000,2.6,,700
Australia,3573000,24642000,14.5,214520,69000
Austria,2577000,8592000,30.0,240880,37900
Azerbaijan,362000,9974000,3.6,537920,18000
Bahamas,74000,397000,18.8,2470,5000
Bahrain,181000,1419000,12.8,25796,20000
Bangladesh,659000,164828000,0.4,410305,333000
Barbados,10000,286000,3.5,1675,2000
Belarus,581000,9459000,6.1,780600,165000
Belgium,1451000,11444000,12.7,80880,78000
Belize,37000,375000,10.0,3690,2000
Benin,33000,11459000,0.3,8700,26000
Bermuda,3000,61000,4.6,,500
Bhutan,6000,793000,0.8,15200,4000
Bolivia,218000,11053000,2.0,87590,42000
Bosnia and Herzegovina,1185000,3793000,31.2,27300,29000
Botswana,97000,2344000,4.1,17100,11000
Brazil,17510000,211243000,8.3,1316300,803000
Brunei Darussalam,6000,434000,1.4,20220,4000
Bulgaria,590000,7045000,8.4,176640,59400
Burkina Faso,175000,19173000,0.9,43780,43000
Burundi,238000,11936000,2.0,75960,24278
Cabo Verde (Cape Verde),31000,533000,5.7,2280,19000
Cambodia,717000,16076000,4.5,258670,64000
Cameroon,510000,24514000,2.1,27360,15000
Canada,12708000,36626000,34.7,233949,103000
Cayman Islands,6000,62000,9.2,,400
Central African Republic,94000,5099000,1.8,8580,10000
Chad,151000,14965000,1.0,25020,34000
Channel Islands,23000,165000,14.0,,500
Chile,2220000,18313000,12.1,311900,66000
China,49735000,1388233000,3.6,27466400,1971000
"China, Macao SAR",22000,606000,3.6,,4000
Christmas Island,0,2000,0.0,,50
Colombia,4971000,49068000,10.1,350689,283000
Comoros,12000,826000,1.5,600,2000
"Congo, Republic of",119000,4866000,2.4,12000,11000
Costa Rica,493000,4906000,10.0,,17000
Côte d'Ivoire (Ivory Coast),1049000,23816000,4.4,33045,15000
Croatia,576000,4210000,13.7,75120,39000
Cuba,234000,11390000,2.1,958100,42000
Curaçao,4000,160000,2.6,,600
"Cyprus, North",61000,349000,17.4,,2000
"Cyprus, Rep. of",285000,839000,34.0,99000,11000
Czech Republic,1323000,10555000,12.5,157233,76000
Democratic Republic of Congo,946000,82243000,1.2,161100,46000
Denmark,567000,5712000,9.9,124120,20000
Djibouti,28000,911000,3.1,19855,5000
Dominica,5000,73000,6.2,,600
Dominican Republic,795000,10767000,7.4,106495,46000
Ecuador,402000,16626000,2.4,253668,41000
Egypt,3931000,95215000,4.1,1544750,1530000
El Salvador,737000,6167000,12.0,127840,30000
England and Wales,2731000,58877000,4.6,,28000
Equatorial Guinea,112000,894000,12.5,2760,2000
Eritrea,23000,5482000,0.4,668550,12000
Estonia,65000,1306000,5.0,38760,18000
Ethiopia,377000,104345000,0.4,525600,79000
Falkland Islands (Malvinas),2000,3000,62.1,,30
Faroe Islands,5000,49000,9.9,,200
Fiji,5000,903000,0.5,16700,2000
Finland,1793000,5541000,32.4,475030,14000
France,12732000,64939000,19.6,566430,497000
French Guiana,55000,283000,19.6,–,2000
French Polynesia,7000,289000,2.5,,400
Gabon,61000,1801000,3.4,5640,4000
Gambia,137000,2120000,6.5,1080,5000
Georgia,402000,3973000,10.1,63950,41000
Germany,15822000,80636000,19.6,483016,466000
Ghana,2280000,28657000,8.0,18600,28000
Gibraltar,1000,32000,4.1,,600
Greece,1920000,10893000,17.6,642510,99000
Greenland,13000,56000,22.3,–,300
Grenada,5000,108000,4.6,–,1000
Guadeloupe,40000,472000,8.5,,2000
Guam,20000,174000,11.5,,500
Guatemala,2062000,17005000,12.1,160600,43000
Guinea,130000,13291000,1.0,23080,13000
,29000,1933000,1.5,10260,4000
Guyana,122000,774000,15.8,10890,4000
Haiti,291000,10983000,2.6,380,15000
Holy See,0,1000,0.0,,200
Honduras,1171000,8305000,14.1,107720,29000
"Hong Kong SAR, China",265000,7402000,3.6,,28000
Hungary,1023000,9788000,10.5,147880,17000
Iceland,106000,334000,31.7,650,590
India,71101000,1342513000,5.3,3900000,1700000
Indonesia,82000,263510000,0.0,1711450,429000
"Iran, Islamic Republic of",5890000,80946000,7.3,3333550,98000
Iraq,7588000,38654000,19.6,611000,56000
Ireland,342000,4749000,7.2,26636,3000
Israel,557000,8323000,6.7,1016900,41000
Italy,8609000,59798000,14.4,502960,273000
Jamaica,246000,2813000,8.8,8681,12000
Japan,377000,126045000,0.3,745514,252000
Jordan,1473000,7877000,18.7,286450,60000
Kazakhstan,504000,18064000,2.8,375690,65000
Kenya,750000,48467000,1.5,45790,51527
Kiribati,900,116000,0.8,,200
"Korea, DPR (North)",76000,25405000,0.3,8363100,76000
"Korea, Republic of (South)",79000,50705000,0.2,2688020,115000
Kosovo,436000,1831000,23.8,9500,21000
Kuwait,685000,4100000,16.7,82580,11000
Kyrgyzstan,171000,6125000,2.8,145010,18000
"Lao, People's Democratic Republic",215000,7038000,3.0,224690,21000
Latvia,205000,1945000,10.5,27936,17000
Lebanon,1927000,6039000,31.9,130150,41000
Lesotho,105000,2185000,4.8,2400,5000
Liberia,97000,4730000,2.1,2520,5000
Libya,851000,6409000,13.3,,
Liechtenstein,11000,38000,28.8,,200
Lithuania,385000,2831000,13.6,81240,17000
Luxembourg,110000,584000,18.9,2340,5000
"Macedonia, Former Yugoslav Republic of",621000,2083000,29.8,29530,21000
Madagascar,168000,25613000,0.7,25320,20000
Malawi,47000,18299000,0.3,24480,8400
Malaysia,217000,31164000,0.7,428170,102000
Maldives,23000,376000,6.2,9500,3000
Mali,206000,18690000,1.1,15800,3000
Malta,119000,421000,28.3,5547,1637
Marshall Islands,300,53000,0.5,,80
Martinique,34000,396000,8.5,,1000
Mauritania,120000,4266000,2.8,22820,10000
Mauritius,106000,1281000,8.3,4845,11000
