Region,Subregion,UNODC Name,2013,2014,2015,2016
Africa,Eastern Africa,Burundi,5.416561720783326,5.7016980748681485,4.519931328418602,6.020521996892045
Africa,Eastern Africa,Comoros,,,7.7032298682572184,
Africa,Eastern Africa,Djibouti,,,6.484707179857109,
Africa,Eastern Africa,Eritrea,,,8.04416849668742,
Africa,Eastern Africa,Ethiopia,,,7.56161239607092,
Africa,Eastern Africa,Kenya,5.465474497214828,5.008229357349658,4.78657719274509,4.873435840037477
Africa,Eastern Africa,Madagascar,,,7.686764627206108,
Africa,Eastern Africa,Malawi,,,,
Africa,Eastern Africa,Mauritius,2.788200336177298,1.5112721013602244,1.667386554194827,1.821944962686567
Africa,Eastern Africa,Mayotte,,,,
Africa,Eastern Africa,Mozambique,,,,
Africa,Eastern Africa,Réunion,,,,
Africa,Eastern Africa,Rwanda,3.2444202523761314,3.7724683321996832,2.519443352637887,
Africa,Eastern Africa,Seychelles,19.40386999407104,17.157440967679673,7.4673038765974695,12.736879422085325
Africa,Eastern Africa,Somalia,,,4.308456945042716,
Africa,Eastern Africa,South Sudan,,,,
Africa,Eastern Africa,Uganda,10.270618686412103,11.518453551430476,,
Africa,Eastern Africa,United Republic of Tanzania,7.301043839934341,7.470105840602376,6.952492556740533,
Africa,Eastern Africa,Zambia,5.7215599862999325,5.281360816553436,5.297943484917662,
Africa,Eastern Africa,Zimbabwe,,,,
Africa,Middle Africa,Angola,,,,
Africa,Middle Africa,Cameroon,,,,
Africa,Middle Africa,Central African Republic,,,,19.75737596079167
Africa,Middle Africa,Chad,,,9.040300292596129,
Africa,Middle Africa,Congo,,,9.322451410047305,
Africa,Middle Africa,Democratic Republic of the Congo,,,13.54638839867685,
Africa,Middle Africa,Equatorial Guinea,,,2.3052338071906404,
Africa,Middle Africa,Gabon,,,8.042836801429923,
Africa,Middle Africa,Sao Tome and Principe,,,,
Africa,Northern Africa,Algeria,1.2520031398152074,1.4752010396051085,1.3593660117565598,
Africa,Northern Africa,Egypt,,,,
Africa,Northern Africa,Libya,,,2.5038768823672344,
Africa,Northern Africa,Morocco,1.2683013444969868,1.034440094874766,1.2383875309374204,
Africa,Northern Africa,Sudan,,,,
Africa,Northern Africa,Tunisia,,,,
Africa,Southern Africa,Botswana,,,,
Africa,Southern Africa,Lesotho,31.076420128641267,,41.24811176077015,
Africa,Southern Africa,Namibia,,,,
Africa,Southern Africa,South Africa,31.66045087993475,32.646021363094334,33.7720858960893,33.970957025492424
Africa,Southern Africa,Swaziland,,,,
Africa,Western Africa,Benin,,,6.182763480535842,
Africa,Western Africa,Burkina Faso,0.7145901681881678,0.7847161405931556,0.3699486003353612,
Africa,Western Africa,Cabo Verde,10.382498952136679,12.347156449869594,8.631802939691845,11.485829080488983
Africa,Western Africa,Côte d'Ivoire,,,11.630524293730888,
Africa,Western Africa,Gambia,,,9.128507795296295,
Africa,Western Africa,Ghana,,,,
Africa,Western Africa,Guinea,,,8.824580102043305,
Africa,Western Africa,Guinea-Bissau,,,9.549855882150275,
Africa,Western Africa,Liberia,,,,
Africa,Western Africa,Mali,,,10.903175976970335,
Africa,Western Africa,Mauritania,,,9.941685761610541,
